TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1
5022,-4.95,23.27,-1.77,2.48,15.81,0.77,2.366,41
5037,-5.15,23.43,-1.81,2.47,16.03,0.77,2.366,40
5053,-5.31,23.59,-1.83,2.45,16.25,0.76,2.37,39
5069,-5.45,23.75,-1.85,2.45,16.25,0.76,2.366,37
5084,-5.55,23.91,-1.87,2.43,16.47,0.76,2.37,37
5100,-5.64,24.07,-1.86,2.41,16.69,0.75,2.366,39
5116,-5.68,24.21,-1.85,2.39,16.91,0.75,2.37,38
5131,-5.69,24.38,-1.84,2.38,17.13,0.74,2.37,37
5147,-5.7,24.58,-1.83,2.37,17.35,0.74,2.366,37
5163,-5.7,24.79,-1.84,2.36,17.56,0.74,2.37,36
5179,-5.67,25,-1.85,2.36,17.77,0.73,2.366,36
5193,-5.63,25.21,-1.86,2.36,17.77,0.73,2.366,36
5207,-5.61,25.43,-1.88,2.35,17.99,0.73,2.37,36
5222,-5.59,25.65,-1.9,2.36,18.2,0.74,2.366,36
5236,-5.57,25.86,-1.92,2.37,18.4,0.74,2.366,36
5251,-5.56,26.07,-1.93,2.39,18.61,0.74,2.366,36
5265,-5.56,26.26,-1.93,2.42,18.81,0.74,2.366,37
5280,-5.56,26.46,-1.94,2.42,18.81,0.74,2.37,36
5294,-5.56,26.65,-1.95,2.45,19.01,0.76,2.366,38
5308,-5.54,26.86,-1.96,2.48,19.2,0.77,2.366,37
5323,-5.48,27.06,-1.97,2.51,19.4,0.78,2.366,36
5338,-5.43,27.29,-1.98,2.54,19.6,0.79,2.366,36
5352,-5.38,27.51,-1.99,2.54,19.6,0.79,2.366,37
5366,-5.35,27.72,-2,2.57,19.79,0.81,2.361,36
5381,-5.33,27.92,-2.01,2.6,19.99,0.82,2.366,37
5395,-5.33,28.15,-2.03,2.63,20.19,0.83,2.366,39
5410,-5.32,28.35,-2.04,2.67,20.39,0.85,2.361,40
5424,-5.31,28.53,-2.04,2.67,20.39,0.85,2.366,37
5438,-5.29,28.73,-2.04,2.7,20.59,0.86,2.366,38
5453,-5.26,28.91,-2.03,2.73,20.78,0.86,2.361,36
5511,-5.26,29.07,-2.01,2.78,20.97,0.87,2.361,37
5526,-5.31,29.26,-2,2.83,21.15,0.87,2.366,37
5540,-5.39,29.45,-2.01,2.89,21.33,0.87,2.361,36
5555,-5.48,29.62,-2.04,2.93,21.51,0.88,2.366,36
5569,-5.58,29.81,-2.07,2.97,21.7,0.89,2.366,36
5584,-5.68,29.99,-2.11,3,21.88,0.89,2.366,37
5598,-5.8,30.17,-2.15,3.03,22.07,0.9,2.366,38
5613,-5.89,30.37,-2.19,3.05,22.25,0.9,2.366,37
5627,-5.98,30.57,-2.23,3.08,22.44,0.9,2.366,37
5641,-6.08,30.77,-2.28,3.1,22.63,0.9,2.366,36
5656,-6.2,30.95,-2.32,3.12,22.82,0.91,2.366,37
5670,-6.35,31.14,-2.38,3.16,23,0.91,2.366,36
5685,-6.49,31.32,-2.43,3.2,23.19,0.91,2.366,38
5699,-6.64,31.51,-2.49,3.23,23.37,0.91,2.366,36
5714,-6.77,31.69,-2.55,3.26,23.55,0.91,2.366,37
5728,-6.9,31.87,-2.61,3.27,23.74,0.92,2.366,37
5743,-7.02,32.06,-2.67,3.27,23.74,0.92,2.37,37
5756,-7.14,32.25,-2.74,3.29,23.93,0.92,2.366,36
5771,-7.25,32.43,-2.81,3.31,24.11,0.93,2.366,36
5785,-7.37,32.63,-2.87,3.33,24.29,0.93,2.366,38
5800,-7.46,32.8,-2.92,3.35,24.47,0.93,2.366,37
5814,-7.56,32.98,-2.98,3.35,24.47,0.93,2.366,36
5828,-7.66,33.18,-3.04,3.38,24.65,0.94,2.366,36
5842,-7.75,33.39,-3.13,3.42,24.83,0.95,2.37,36
5857,-7.81,33.59,-3.21,3.45,25.01,0.96,2.366,36
5871,-7.88,33.78,-3.28,3.47,25.19,0.97,2.366,35
5886,-7.96,33.98,-3.36,3.47,25.19,0.97,2.37,36
5900,-8.05,34.18,-3.44,3.5,25.37,0.98,2.366,36
5914,-8.14,34.39,-3.51,3.52,25.55,0.98,2.366,37
5929,-8.2,34.59,-3.57,3.54,25.73,0.99,2.366,36
5943,-8.27,34.78,-3.62,3.57,25.9,0.99,2.366,36
5957,-8.32,34.98,-3.67,3.57,25.9,0.99,2.366,36
5971,-8.36,35.17,-3.7,3.59,26.08,1,2.366,36
5986,-8.38,35.36,-3.72,3.6,26.25,1,2.366,36
6000,-8.41,35.55,-3.76,3.63,26.43,1.01,2.361,36
6015,-8.43,35.76,-3.8,3.65,26.6,1.01,2.366,37
6029,-8.44,35.95,-3.83,3.65,26.6,1.01,2.366,36
6043,-8.45,36.14,-3.87,3.67,26.77,1.02,2.366,36
6057,-8.45,36.33,-3.9,3.69,26.94,1.02,2.366,36
6072,-8.48,36.51,-3.93,3.71,27.11,1.03,2.361,36
6086,-8.5,36.7,-3.95,3.74,27.28,1.03,2.361,37
6101,-8.54,36.89,-3.99,3.76,27.45,1.04,2.366,36
6115,-8.59,37.08,-4.01,3.76,27.45,1.04,2.361,37
6129,-8.63,37.26,-4.05,3.78,27.62,1.03,2.361,36
6143,-8.67,37.44,-4.07,3.8,27.79,1.03,2.361,36
6158,-8.7,37.62,-4.1,3.81,27.96,1.03,2.366,36
6172,-8.73,37.8,-4.12,3.83,28.14,1.03,2.361,38
