TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,EMG2
44291,-157.47,84.68,-111.5,-42.4,83.12,-1.27,2.219,410,341
44401,-168.21,84.77,-119.6,-49.71,83.66,-6.69,2.361,472,429
44511,-178.9,84.89,-129.16,-66.83,85.01,-22.37,2.586,263,202
44621,177.42,84.19,-132.58,-69.46,85.85,-25.25,2.297,249,376
44730,-169.64,81.65,-120.51,-42.63,86.28,0.33,2.126,358,344
44840,-157.18,79,-107.4,6.52,85.45,48.59,2.043,415,455
44950,-154.12,78.58,-106.54,24.42,84.24,63.01,1.979,303,263
45060,-160.83,79.93,-118.13,29.27,82.94,65.34,1.96,234,206
45170,-169.73,81.91,-129.92,19.78,82.5,55.48,1.979,211,217
45279,143.09,84.04,-173.76,18.28,83.05,55.87,2.063,120,120
45389,150.16,84.95,-162.51,23.6,77.61,63.54,2.151,60,46
45499,148.03,83.74,-170.9,27.42,77.14,64.74,2.297,60,39
45609,120.9,81.95,166.91,32.32,78.65,73.86,2.537,294,242
45719,100.36,78.01,148.04,38.36,80.4,82.06,2.38,163,153
45828,90.94,73.71,137.93,46.94,81.6,90.23,2.058,271,378
45938,82.95,70.61,130.76,56.07,82.84,98.65,1.916,101,114
46048,79.36,67.62,126.91,66.3,84.13,107.68,1.906,281,268
46158,75.43,65.51,123.9,72.87,84.94,113.79,1.901,319,303
46268,74.08,64.77,122.66,72.21,85.27,112.84,1.901,320,358
46378,74.59,65.7,122.45,67.13,84.91,107.34,1.94,317,316
46488,77.14,67.88,124.2,59.43,83.95,99.77,1.945,104,104
46598,81.3,71.26,127.62,52.19,82.54,92.6,1.945,209,201
46708,88.53,75.63,134.1,45.65,81.11,85.79,1.945,395,389
46818,106.25,80.71,152.3,38.98,79.54,78.32,1.95,268,239
46928,155.4,84,-157.82,35.2,78.66,73.27,1.955,184,166
47037,-167.37,82.46,-120.64,33.16,78.78,70.48,1.96,283,305
47147,-154.94,80.25,-108.36,31.38,79.51,68.56,1.96,345,362
47257,-150.53,79.15,-104.03,29.05,80.09,66.23,1.97,102,112
47367,-147.34,78.42,-101.93,27.36,80.13,64.18,1.965,161,139
47477,-147.9,78.51,-102.67,27.03,80.37,63.9,1.97,189,144
47587,-147.44,78.54,-102.97,26.42,80.22,62.86,1.975,274,233
47697,-146.93,78.6,-102.47,26.16,80.04,62.45,1.975,208,169
47807,-146.26,78.68,-102.22,19.27,26.24,-178.89,1.975,268,261
47923,-146.13,78.9,-102.08,25.14,79.69,61.09,2.019,185,214
48034,-145.8,79,-102.01,24.72,79.56,60.52,2.229,362,387
48145,-145.88,79.06,-102.12,24.6,79.45,60.29,2.434,395,461
48256,-146.02,79.16,-102.48,24.64,79.32,60.13,2.625,131,125
48366,-146.4,79.2,-102.89,24.85,79.28,60.25,2.375,149,72
48477,-146.7,79.23,-103.24,25.07,79.22,60.39,2.209,246,165
48588,-147.06,79.3,-103.65,25.4,79.19,60.65,2.102,363,149
48699,-147.46,79.37,-104.12,25.76,79.11,60.91,2.048,126,87
48810,-147.62,79.43,-104.39,26.02,79.01,61.06,1.994,80,52
48920,-147.8,79.55,-104.63,26.34,78.92,61.31,1.955,80,50
49030,-150.61,80.37,-107.87,27.26,78.8,62.23,1.935,237,143
49140,-169.34,82.44,-127.16,29.05,78.95,64.48,1.935,922,921
49249,154.25,83.47,-162.25,29.46,79.02,67.33,1.994,922,922
49359,120.99,81.98,165.07,30.33,79.95,69.76,2.087,617,366
49468,102.31,79.3,146.55,34.31,80.77,74.5,2.199,163,93
49578,91.69,76.19,135.48,41.54,82.07,81.65,2.38,221,151
49688,85.98,73.15,129.68,49,83.35,88.69,2.566,227,165
49797,80.51,70.18,125.02,56.4,84.29,95.38,2.307,309,178
49907,77.63,67.94,122.92,62.92,85.05,101.41,2.028,197,226
50017,74.11,65.88,120.6,68.86,85.55,106.86,1.867,245,218
50126,72.08,63.95,118.69,75.23,85.8,112.48,1.823,237,183
50236,70.62,62.84,117.85,74.7,85.93,111.77,1.808,401,458
50345,70.69,62.91,118.03,71.76,85.95,108.84,1.784,365,333
50455,73.22,64.96,119.68,66.56,85.41,103.67,1.828,225,172
50564,77.22,68.13,123.05,59.03,84.23,96.72,1.838,213,163
50674,83.2,72.28,128.5,51.26,82.96,89.49,1.838,246,192
50784,92.54,77.08,137.51,43.56,81.38,81.5,1.833,91,100
50893,112.97,81.66,158.53,37.47,79.76,74.54,1.838,298,331
51003,158.62,83.78,-155.22,34.6,78.74,70.84,1.852,257,274
51112,-166.63,82.45,-119.37,34.01,78.72,69.68,1.926,97,110
51222,-152.5,80.2,-106.05,32.28,78.91,67.65,1.97,209,155
51332,-148.04,78.7,-101.3,31.14,79.27,66.53,1.999,350,330
51441,-145.29,77.02,-99.04,27.6,79.32,62.52,2.014,316,239
51551,-145.58,75.99,-100.21,25.83,79.6,60.27,2.033,395,346
51660,-145.65,75.8,-100.3,24.4,79.71,58.72,2.033,119,457
51770,-145.7,75.58,-100.18,23.25,79.69,57.51,2.028,313,314
51879,-145.16,75.5,-99.42,21.75,79.64,55.99,2.023,263,358
51989,-144.76,75.5,-98.93,20.87,79.61,55.13,2.023,344,310
52099,-144.71,75.73,-98.94,20.85,79.58,55.08,2.028,365,380
52208,-145.16,77.72,-101.61,25.32,79.56,59.25,2.033,297,277
52318,-146.3,79.1,-105.04,29.62,79.56,63.06,2.043,98,99
52428,-150.65,79.39,-110.16,28.29,78.88,62.52,2.092,54,42
52537,-153.12,79.47,-112.86,28.4,78.54,62.72,2.155,284,229
52647,-153.89,79.39,-113.41,29.02,78.73,63.5,2.263,423,356
52756,-153.79,79.36,-113.12,29.64,78.9,64.19,2.454,253,357
52866,-152.83,79.24,-111.99,29.67,79.24,64.4,2.566,119,130
52976,-151.3,79.16,-109.65,30.21,79.93,64.84,2.59,74,97
53085,-150.03,79.02,-107.44,29.69,80.3,64.46,2.59,259,343
53195,-149.33,79.17,-106.87,27.93,80.14,62.22,2.61,379,689
53305,-148.31,79.59,-105.79,25.62,79.89,59.8,2.561,361,635
53414,-147.04,80.11,-104.37,22.24,79.51,56.53,2.571,386,650
53524,-145.59,81.32,-102.99,18.2,79.04,52.72,2.556,374,586
53632,-147.18,83.31,-104.67,13.65,78.31,48.61,2.527,236,369
53742,-157.06,85.65,-113.82,10.13,76.78,45.36,2.551,332,407
53852,-161.09,86.8,-116.67,1.34,76.67,39.61,2.571,301,427
53961,-139.26,86.57,-93.01,-17.1,78.97,21.42,2.556,278,235
54071,-145.74,85.59,-100.52,-23.74,80.31,13.87,2.488,121,127
54180,-155.45,85.77,-112.93,-20.95,80.62,14.38,2.419,303,343
54290,-164.37,85.85,-121.88,-21.29,81.17,15.01,2.312,105,138
54399,-169.11,85.43,-126.85,-23.83,82.14,13.15,2.224,273,293
54509,-168.56,85.13,-127.13,-25.59,82.73,10.78,2.263,306,308
54619,-167.96,84.86,-126.42,-26.9,83.1,9.65,2.297,106,115
54728,-165.06,84.77,-123.54,-25.3,82.85,11.25,2.248,272,284
54838,-163.7,85.18,-122.56,-23.65,82.41,12.5,2.165,372,416
54947,-156.39,85.81,-115.11,-23.48,81.65,11.49,2.195,249,307
55057,-152.99,85.64,-111.36,-22.77,81.36,11.2,2.326,314,269
55167,-149.61,85.27,-107.62,-17.6,80.86,15.53,2.527,138,109
55276,-155.81,85.78,-114.39,-1.33,80.67,28.37,2.654,922,921
55386,-173.11,86.45,-135.54,11.47,79.11,36.57,2.669,922,922
55495,170.19,86.43,-155.59,20.7,78.45,40.54,2.59,922,922
55605,166.27,85.23,-164.2,27.47,79.21,41.07,2.493,922,634
55714,165.02,84.72,-168.28,29.58,79.75,43.66,2.41,922,922
55824,177.45,83.75,-156.83,31.45,80.51,45.71,2.366,922,549
55934,-172.3,82.8,-149.31,33.79,80.34,46.53,2.336,922,404
56043,-177.33,82.51,-157.08,38.71,79.51,49.09,2.307,827,379
56153,160.19,82.35,179.14,42.12,79.02,51.44,2.302,658,552
56263,-4.55,15.57,22.52,42.75,78.71,51.18,2.312,646,153
56372,114.87,79.93,132.25,43.02,78.79,51.76,2.307,922,687
56482,105.6,79.88,124.86,41.15,78.62,50.69,2.307,922,691
56592,99.35,80.45,120,36.36,77.5,46.3,2.297,833,471
56701,96.76,80.67,118.22,33.37,76.24,43.23,2.287,307,281
56811,93.76,80.91,115.45,31.36,75.27,41.12,2.278,718,655
56920,92.13,81.13,113.7,29.92,74.64,39.22,2.273,379,383
57030,89.67,81.46,111.76,28.5,74.32,37.98,2.258,188,238
57139,87.15,81.84,110.08,27.54,74.09,37.37,2.248,75,364
57249,88,81.88,110.78,27.49,73.81,37.02,2.243,68,88
57359,88.54,81.82,111.01,27.92,73.84,37.22,2.258,356,400
57468,89.04,81.85,111.58,28.41,73.92,37.56,2.258,305,340
57578,90.37,81.83,112.79,28.9,73.96,37.93,2.258,287,414
57687,91.69,81.87,114.14,29.42,73.99,38.33,2.253,107,272
57797,92.78,81.97,115.37,29.7,73.99,38.59,2.253,282,325
57907,94.09,82.06,116.76,29.9,74.01,38.74,2.253,295,320
58016,94.91,82.2,117.72,30.02,74.02,38.83,2.248,91,105
58126,95.98,82.37,118.74,29.93,73.99,38.61,2.248,336,374
58235,96.23,82.41,118.96,29.73,73.87,38.29,2.248,200,223
58345,97.24,82.5,120.1,29.18,73.86,37.6,2.248,243,289
58455,96.72,82.6,119.71,28.67,74.1,37.02,2.243,89,204
58564,95.74,82.68,118.87,0.07,-0.1,76.16,2.239,286,363
58674,95.32,82.84,118.7,27.39,74.27,36.01,2.239,378,465
58783,95.72,82.93,119.2,27.19,74.23,35.81,2.239,334,386
58893,95.61,83.03,119.2,26.96,74.26,35.6,2.239,645,786
59002,95.12,83.12,118.76,26.73,74.26,35.38,2.239,922,922
59112,95.6,83.18,119.21,26.56,74.22,35.13,2.239,922,922
59222,95.83,83.27,119.38,26.4,74.19,34.86,2.239,922,922
59331,95.5,83.35,119.07,26.15,74.21,34.58,2.243,922,922
59441,95.72,83.42,119.26,26.01,74.22,34.34,2.253,922,922
59550,96.06,83.45,119.46,25.89,74.17,34.08,2.253,922,922
59660,96.16,83.51,119.48,25.66,74.11,33.74,2.253,923,922
59770,96.14,83.57,119.44,25.47,74.11,33.52,2.253,922,922
59879,95.75,83.61,119.07,25.33,74.1,33.35,2.253,922,922
59989,95.72,83.63,118.99,25.2,74.1,33.18,2.253,922,922
60098,95.49,83.66,118.84,25.12,74.1,33.09,2.253,922,923
60208,95.55,83.67,118.82,25.1,74.07,32.96,2.253,879,921
60344,95.43,83.67,118.61,25.11,74.03,32.84,2.258,104,178
60454,94.61,83.57,117.74,24.97,74.01,32.71,2.229,349,405
60563,94.29,83.52,117.34,24.95,74.09,32.7,2.219,105,144
60673,94.66,83.54,117.76,24.94,74.14,32.68,2.219,889,617
60782,95.59,83.53,118.64,25.05,74.13,32.72,2.185,923,922
60891,95.74,83.58,118.94,25.05,74.17,32.78,2.146,922,922
61001,96.22,83.56,119.34,25.17,74.22,32.83,2.136,414,436
61110,96.11,83.59,119.27,25.24,74.23,32.81,2.141,363,482
61220,96.29,83.6,119.3,25.29,74.22,32.69,2.141,922,908
61329,96.5,84.03,119,25.25,74.19,32.56,2.146,922,922
61439,95.39,83.57,118.26,25.08,74.12,32.35,2.146,658,675
61548,95.58,83.65,118.9,24.21,73.76,32.14,2.155,267,202
61657,92.78,83.74,116.28,23.43,73.44,31.83,2.16,89,82
61767,89.86,83.64,113.03,22.61,73.12,30.89,2.165,170,183
61876,87.05,83.8,110.25,21.69,72.69,29.98,2.17,493,213
61986,84.97,84.07,108.08,21.1,72.17,29.14,2.175,922,801
62095,84.28,84.1,107.07,20.91,71.79,28.65,2.175,922,921
62205,82.67,84.11,105.49,20.84,71.58,28.5,2.175,922,922
62314,82.36,84.06,104.99,20.93,71.52,28.38,2.18,922,360
62424,82.32,84.04,104.82,21.22,71.53,28.41,2.185,922,907
62533,83.07,83.98,105.44,21.47,71.56,28.53,2.185,922,467
62643,83.8,83.94,106.17,21.69,71.67,28.71,2.19,770,363
62752,84.68,83.93,107.11,21.94,71.81,28.95,2.195,887,812
62861,85.88,83.89,108.26,22.13,71.91,29.1,2.195,922,744
62971,86.79,83.86,109.15,22.37,72.06,29.28,2.199,922,906
63080,87.58,83.8,109.83,22.7,72.22,29.45,2.195,922,922
63190,88.52,83.78,110.74,22.96,72.3,29.59,2.199,922,575
63299,89.44,83.76,111.53,23.1,72.39,29.6,2.199,922,921
63409,89.77,83.75,111.82,23.15,72.46,29.59,2.199,922,923
63518,90.27,83.74,112.24,23.16,72.51,29.51,2.199,922,922
63627,90.63,83.73,112.55,23.16,72.55,29.45,2.204,922,922
63737,90.84,83.74,112.73,23.13,72.59,29.37,2.204,922,922
63846,90.93,83.74,112.77,23.19,72.66,29.33,2.204,922,922
63956,91.05,83.74,112.84,23.21,72.72,29.25,2.204,922,922
64065,91.28,83.75,113.06,23.19,72.74,29.16,2.209,922,922
64175,91.51,83.74,113.19,23.17,72.76,29.05,2.214,923,922
64284,91.68,83.74,113.33,23.17,72.78,28.97,2.209,922,922
64393,91.75,83.75,113.35,23.15,72.79,28.86,2.214,922,922
64503,91.81,83.75,113.32,49.76,65.15,69.63,2.214,922,922
64612,91.83,83.75,113.23,23.29,72.87,28.69,2.219,422,808
64722,92.07,83.75,113.39,23.28,72.88,28.63,2.214,272,316
64831,92.21,83.75,113.51,23.26,72.91,28.57,2.214,337,575
64941,92.2,83.76,113.47,23.22,72.93,28.48,2.219,244,296
65050,92.42,83.75,113.68,23.19,72.96,28.44,2.219,347,468
65159,92.55,83.76,113.8,23.17,72.99,28.39,2.214,337,436
65269,92.86,83.77,114.05,23.19,73.03,28.31,2.214,554,701
65378,93.13,83.76,114.19,23.25,73.05,28.25,2.219,922,922
65488,93.25,83.74,114.26,23.28,73.06,28.21,2.214,339,301
65597,93.25,83.73,114.23,23.33,73.05,28.19,2.214,292,431
65707,93.33,83.73,114.31,23.36,73.04,28.18,2.219,253,281
65816,93.35,83.72,114.33,23.43,73.04,28.2,2.219,249,253
65926,93.15,83.72,114.12,23.36,73.03,28.1,2.219,222,232
66035,93.38,83.71,114.3,23.38,73.03,28.06,2.219,134,90
66145,93.39,83.72,114.29,23.33,73.02,27.95,2.219,306,323
66254,93.38,83.71,114.22,23.33,73,27.88,2.219,179,159
66363,93.4,83.71,114.16,23.34,72.98,27.79,2.219,136,164
66473,93.36,83.71,114.09,23.31,72.97,27.69,2.214,144,122
66582,93.42,83.73,114.11,23.28,72.94,27.59,2.214,922,922
66692,93.12,83.73,113.76,23.28,72.95,27.5,2.219,922,922
66801,93.13,83.73,113.71,23.31,72.95,27.45,2.214,922,922
66910,93.05,83.73,113.64,23.29,72.93,27.4,2.214,922,922
67020,93.01,83.73,113.54,23.27,72.92,27.34,2.219,922,922
67129,92.88,83.75,113.37,23.25,72.91,27.24,2.219,922,922
67239,92.92,83.75,113.36,23.26,72.87,27.16,2.214,922,922
67349,92.78,83.76,113.16,23.2,72.86,26.99,2.209,922,922
67458,92.72,83.76,113.05,23.18,72.86,26.91,2.209,922,922
67568,92.72,83.75,113.03,23.18,72.88,26.85,2.214,922,922
67678,92.68,83.76,112.97,23.17,72.87,26.79,2.214,922,922
67787,92.77,83.77,113.01,23.15,72.86,26.68,2.214,922,922
67897,92.59,83.78,112.82,23.14,72.85,26.61,2.214,922,922
68006,92.65,83.8,112.88,23.12,72.83,26.51,2.214,922,922
68116,92.72,83.81,112.88,23.16,72.82,26.47,2.214,922,922
68226,92.45,83.79,112.53,23.33,72.81,26.53,2.214,922,922
68335,92.51,83.78,112.51,23.5,72.75,26.55,2.214,922,922
68445,92.4,83.75,112.28,23.61,72.65,26.5,2.214,922,922
68554,91.95,83.72,111.73,23.63,72.6,26.38,2.214,922,922
68664,91.46,83.71,111.14,23.62,72.56,26.22,2.214,922,921
68774,91.36,83.69,110.96,23.6,72.52,26.11,2.214,922,921
68883,91.13,83.69,110.77,23.55,72.53,26.06,2.214,457,652
68993,91.38,83.7,111,23.56,72.52,26.02,2.214,264,415
69102,91.43,83.69,111.03,23.58,72.53,25.98,2.214,188,233
69212,91.57,83.71,111.14,23.54,72.54,25.89,2.214,490,439
69322,91.75,83.71,111.26,2.71,2.27,-79.32,2.214,204,151
69431,92.08,83.7,111.5,23.59,72.57,25.76,2.214,922,922
69541,91.87,83.7,111.29,23.58,72.57,25.69,2.214,923,922
69650,92.18,83.7,111.51,23.59,72.57,25.6,2.214,922,922
69760,92.08,83.7,111.39,23.63,72.58,25.58,2.214,922,922
69870,92.05,83.7,111.37,23.61,72.56,25.54,2.214,922,922
69979,92.01,83.71,111.32,23.61,72.57,25.47,2.214,922,922
70089,92.07,83.73,111.33,23.59,72.57,25.39,2.214,922,922
70198,91.88,83.75,111.15,23.59,72.56,25.36,2.214,922,922
70308,91.89,83.75,111.12,23.59,72.57,25.29,2.214,922,922
70418,nan,nan,nan,23.58,72.56,25.19,2.214,922,922
70527,91.69,83.75,110.84,23.55,72.53,25.1,2.214,922,922
70637,91.58,83.75,110.66,23.53,72.53,25,2.219,420,726
70746,91.59,83.75,110.62,23.55,72.53,24.93,2.219,346,440
70856,91.64,83.73,110.66,23.5,72.53,24.84,2.219,216,207
70966,91.57,83.72,110.52,23.52,72.53,24.79,2.214,921,921
71075,91.58,83.71,110.47,23.57,72.52,24.77,2.214,921,921
71185,91.64,83.7,110.48,23.64,72.52,24.75,2.219,330,342
71294,91.46,83.68,110.27,23.66,72.52,24.72,2.214,298,317
71404,91.66,83.67,110.44,23.69,72.52,24.67,2.214,923,922
71514,91.57,83.66,110.31,23.74,72.52,24.64,2.214,923,922
71623,91.51,83.65,110.23,23.75,72.52,24.59,2.219,922,922
71733,91.59,83.64,110.27,23.73,72.52,24.5,2.219,923,921
71842,91.68,83.66,110.36,23.76,72.5,24.48,2.219,922,922
71952,91.71,83.66,110.35,23.77,72.49,24.42,2.219,922,922
72062,91.67,83.66,110.23,23.78,72.48,24.32,2.219,922,922
72171,90.7,75.29,117.53,23.78,72.49,24.22,2.219,922,922
72281,91.53,83.65,109.95,23.78,72.47,24.14,2.219,922,922
72390,91.7,83.65,110.1,23.8,72.47,24.1,2.219,355,335
72500,91.89,83.64,110.28,23.84,72.49,24.09,2.219,93,121
72610,91.64,83.63,110.05,23.84,72.51,24.06,2.219,136,102
72719,91.76,83.61,110.13,23.9,72.52,24.06,2.219,922,922
72829,91.75,83.6,110.1,23.94,72.53,24.03,2.219,491,535
72938,91.87,83.59,110.18,23.96,72.54,23.99,2.219,360,479
73048,91.88,83.59,110.13,23.98,72.53,23.95,2.219,254,263
73157,91.83,83.58,110.05,23.93,72.52,23.83,2.219,237,275
73267,91.96,83.59,110.14,23.92,72.52,23.75,2.214,922,922
73377,91.94,83.61,110.07,23.87,72.53,23.63,2.219,922,922
73486,91.91,83.61,110,23.82,72.53,23.53,2.219,922,922
73596,91.75,83.63,109.82,23.76,72.53,23.4,2.219,922,922
73705,91.67,83.64,109.69,23.71,72.54,23.3,2.219,922,922
73815,91.71,83.65,109.66,23.66,72.55,23.19,2.219,922,922
73925,91.79,83.65,109.71,23.65,72.54,23.09,2.219,922,922
74034,91.97,83.65,109.8,23.65,72.53,22.99,2.219,922,922
74144,91.96,83.64,109.7,23.66,72.53,22.92,2.219,922,922
74254,91.8,83.65,109.52,23.64,72.54,22.83,2.214,922,922
74363,91.91,83.63,109.58,23.64,72.53,22.76,2.219,922,922
74473,91.84,83.65,109.52,23.66,72.54,22.73,2.214,922,922
74583,91.79,83.65,109.46,23.62,72.55,22.66,2.219,922,922
74692,92.18,83.65,109.75,23.63,72.55,22.57,2.219,922,922
74802,92.24,83.64,109.77,23.61,72.54,22.46,2.219,307,467
74911,92.02,83.65,109.55,23.54,72.54,22.36,2.219,922,922
75021,92.06,83.66,109.54,23.5,72.54,22.23,2.219,922,922
75131,92.13,83.68,109.55,23.48,72.56,22.11,2.219,922,922
75240,92.16,83.67,109.53,23.46,72.55,22.03,2.219,923,922
75350,92.06,83.68,109.4,23.39,72.56,21.88,2.219,504,562
75459,92.08,83.69,109.36,23.36,72.56,21.78,2.224,922,922
75569,92.05,83.71,109.3,23.39,72.58,21.76,2.224,505,445
75678,92.18,83.71,109.41,23.35,72.59,21.66,2.224,332,373
75788,92.25,83.71,109.42,23.36,72.58,21.62,2.219,257,269
75898,92.36,83.7,109.48,23.36,72.58,21.56,2.214,90,104
76007,92.49,83.72,109.59,-87.55,-10.61,-170.44,2.224,244,171
76117,92.42,83.71,109.51,23.37,72.56,21.44,2.224,330,370
76227,92.42,83.71,109.47,23.41,72.55,21.4,2.219,364,461
76336,92.3,83.71,109.32,23.41,72.55,21.35,2.219,922,923
76446,92.4,83.69,109.41,23.42,72.55,21.32,2.219,922,922
76555,92.37,83.7,109.35,23.42,72.54,21.26,2.224,922,922
76665,92.41,83.7,109.36,23.41,72.55,21.2,2.224,922,923
76774,92.41,83.68,109.32,23.39,72.55,21.11,2.219,922,922
76884,92.47,83.67,109.32,23.4,72.57,21.05,2.224,378,412
76994,92.6,83.65,109.4,23.49,72.56,21.05,2.224,322,431
77103,92.69,83.63,109.46,23.54,72.57,21.05,2.219,922,922
77213,92.64,83.63,109.38,23.59,72.57,21.04,2.219,923,922
77323,92.71,83.63,109.43,23.59,72.57,20.99,2.219,922,922
77432,92.78,83.63,109.48,23.56,72.55,20.92,2.219,922,922
77542,92.77,83.63,109.43,23.55,72.54,20.83,2.224,380,620
77651,92.71,83.65,109.28,23.57,72.51,20.76,2.219,922,923
77761,92.78,83.64,109.25,23.62,72.5,20.69,2.219,922,922
77871,92.8,83.63,109.22,23.64,72.49,20.64,2.219,922,922
77980,92.94,83.63,109.3,23.64,72.51,20.59,2.219,619,808
78090,93.18,83.63,109.54,23.64,72.53,20.56,2.224,492,332
78200,93.24,83.65,109.6,23.65,72.57,20.53,2.224,923,922
78309,93.34,83.65,109.66,23.66,72.6,20.49,2.219,922,922
78419,93.14,83.65,109.41,23.62,72.6,20.37,2.224,922,923
78528,93.16,83.64,109.32,23.63,72.6,20.27,2.219,674,771
78638,93.12,83.64,109.21,23.64,72.59,20.18,2.224,264,250
78748,93.17,83.65,109.26,23.59,72.59,20.09,2.224,922,922
78858,93.04,83.68,109.09,23.57,72.6,19.99,2.224,922,922
78967,93.17,83.66,109.13,23.63,72.6,19.94,2.224,922,921
79077,93.12,83.67,109.07,23.61,72.6,19.89,2.224,556,829
79187,93.2,83.67,109.12,23.61,72.62,19.85,2.224,366,467
79297,93.23,83.68,109.15,23.59,72.62,19.8,2.219,279,349
79407,93.09,83.7,109.03,23.56,72.63,19.75,2.224,236,229
79517,93.1,83.68,108.99,23.55,72.61,19.67,2.224,310,404
79627,92.98,83.64,108.79,23.66,72.59,19.69,2.224,922,864
79736,93.11,83.6,108.86,23.75,72.59,19.71,2.224,442,409
79846,93.03,83.58,108.78,23.86,72.58,19.77,2.224,274,282
79956,92.97,83.55,108.7,23.98,72.57,19.84,2.224,112,114
80066,93.14,83.52,108.8,24.12,72.56,19.86,2.224,280,352
80176,93.07,83.48,108.79,24.09,72.53,19.85,2.224,328,442
80286,92.89,83.43,108.65,24.07,72.53,19.8,2.224,154,225
80396,93.04,83.39,108.81,24.14,72.52,19.8,2.224,242,252
80506,92.92,83.36,108.72,24.05,72.47,19.74,2.224,291,533
80615,92.83,83.33,108.63,23.96,72.43,19.67,2.209,298,393
80725,92.75,83.29,108.53,23.89,72.39,19.6,2.18,349,498
80835,92.76,83.26,108.54,23.81,72.33,19.51,2.19,151,202
80945,92.67,83.21,108.41,23.76,72.28,19.43,2.199,306,343
81055,92.63,83.19,108.36,23.73,72.23,19.39,2.185,358,483
81165,92.56,83.16,108.31,23.68,72.18,19.38,2.209,388,458
81318,92.52,83.11,108.26,23.63,72.14,19.32,2.537,300,277
81427,92.42,83.06,108.17,23.64,72.09,19.34,2.419,250,246
81537,92.35,83.03,108.09,117.56,25.28,-177.74,2.576,349,451
81647,92.1,83.01,107.83,23.45,71.92,19.16,2.649,232,228
81757,93.24,83.01,108.97,22.85,71.58,18.89,2.659,345,429
81866,92.43,83.21,108.36,22.13,71.32,18.46,2.674,209,220
81976,91.5,83.01,106.6,21.2,71.22,17.56,2.678,211,263
82086,90.61,83.42,105.1,19.15,71.31,15.73,2.678,165,294
82196,88.87,84.39,104.4,16.42,71.52,13.96,2.713,175,423
82305,89.46,84.56,105.42,14.58,71.89,13.2,2.713,215,328
82415,86.24,83.97,102.89,13.48,74.66,12.86,2.703,383,455
82525,92.05,84.78,107.03,2.39,80.88,1.5,2.693,305,311
82635,95.87,84.79,111.26,0.53,81.99,-2.02,2.63,385,362
82744,96.45,84.5,109.56,2.83,81.98,-0.25,2.62,379,436
82854,nan,nan,nan,5.38,82.27,0.89,2.507,107,124
82964,110.88,83.78,120.57,4.93,83.15,0.4,2.405,44,63
83074,120.92,83.84,130.23,1.97,83.73,-2.06,2.297,327,383
83183,131.8,83.92,140.23,0.83,83.98,-3.11,2.141,95,122
83293,132.21,83.78,140.1,1.96,84.27,-2.11,2.185,128,126
83403,114.04,80.12,125.82,2.45,84.29,-1.54,2.239,72,93
83513,128.03,83.83,135.75,4.53,83.41,0.61,2.239,211,208
83623,120.08,84.51,129.68,3.66,82.43,0.52,2.253,338,284
83732,111.62,84.67,123.39,4.56,81.55,0.98,2.273,386,352
83842,117.27,84.93,128.41,9.24,81.27,4.18,2.307,302,271
83952,113.75,84.83,124.19,16.97,80.27,9.53,2.292,280,284
84062,104.19,85.04,114.21,20.97,77.8,12.2,2.307,97,165
84171,108.56,84.89,116.31,24.53,75.5,13.71,2.361,264,261
84281,126.3,85.38,131.58,27.32,74.06,14.3,2.444,303,288
84391,131.54,85.31,135.39,27.86,73.53,14.42,2.551,403,615
84501,133.5,85.22,137.16,28.4,74.34,14.76,2.61,304,517
84610,138.99,84.93,141.61,29.4,75.22,15.19,2.62,182,318
84720,148.24,84.66,151.55,30.26,76.39,16.52,2.556,155,347
84830,156.11,84.04,159.89,30.85,77.31,17.32,2.483,141,197
84940,160.1,83.67,164.9,30.69,78.61,18.17,2.517,348,369
85049,167.54,83.08,171.87,29.41,79.35,17.38,2.483,258,218
85159,174.56,82.4,178.93,28.59,80,17.57,2.41,376,389
85269,174.1,81.73,177.64,28.99,81,18.26,2.434,128,231
85379,171.05,81.03,173.2,27.98,82.11,17.04,2.537,271,244
85488,168.35,80.49,170.69,28.51,83.89,17.86,2.532,307,294
85598,166.86,80.02,168.55,26.24,85.12,15.38,2.326,237,201
85708,167.19,79.92,168.81,25.09,85.74,14.22,2.19,264,276
85817,168.77,80.19,170.06,22.59,85.31,11.26,2.234,327,336
85927,169.44,80.9,169.86,20.29,83.97,8.16,2.258,382,473
86037,162.67,82.15,162.42,18.73,82.02,6.06,2.268,453,437
86147,150.58,83.49,150.88,17.14,79.83,4.82,2.297,384,390
86256,139.55,84.34,142.18,15.82,77.86,3.61,2.322,314,292
86366,133.82,84.91,135.33,16.36,76.98,2.1,2.341,397,411
86476,131.56,85.65,131.63,13.59,78,-3.22,2.356,127,157
86586,141.33,86.61,141.89,8.81,78.42,-8.25,2.351,44,48
86695,161,87.23,160.34,11.42,77.35,-7.5,2.317,177,148
86805,175.46,86.22,170.52,14.93,76.11,-4.67,2.302,391,347
86915,170.65,85.32,165.15,15.15,75.99,-4.47,2.312,387,367
87025,170.66,84.82,166.73,15.17,76.61,-3.21,2.307,320,325
87134,169.53,84.5,165.35,16.44,76.75,-2.18,2.307,113,134
87244,165.53,84.4,161.56,17.13,76.88,-1.38,2.346,39,70
87354,-0.61,-28.51,63.42,17.02,76.82,-1.27,2.375,299,314
