Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS
142.12,83.12,128.15,52.02,71.9,-4.27,2.532
134.38,78.46,118.32,66.79,73.53,6.25,2.532
134.21,73.03,116.9,85.41,76.01,20.12,2.532
133.03,68.76,118.21,101.83,75.82,37.07,2.527
131.75,66.52,119.88,109.85,73.96,47.92,2.537
128.1,65.01,119.34,110.55,70.98,51.96,2.546
125.83,63.32,119.01,111.01,68.67,54.2,2.527
123.61,62.35,119.15,111.29,67.36,56.72,2.488
123.58,61.84,120.36,112.21,66.95,59.02,2.458
123.31,61.92,120.92,112.12,66.88,59.86,2.429
123.22,61.68,121.18,112.39,66.74,60.55,2.4
123.2,60.75,121.22,114.06,66.14,62.11,2.4
123.48,58.73,121.73,117.17,64.35,65.2,2.351
121.56,56.3,121.56,119.17,62.27,68.4,2.385
120.52,54.96,121.79,120.11,60.47,70.15,2.39
119.96,55.11,122.2,119.32,60.03,70.09,2.366
120.68,57.06,123.05,117.84,61.37,68.88,2.351
119.25,61.21,123.16,109.4,64.06,62.22,2.331
17.74,6.96,55.8,99.61,66.63,52.96,2.336
120.5,71.06,122.19,88.75,68.41,42.34,2.317
122.06,74.72,122.95,79.2,69.45,32.54,2.297
123.55,78.24,123.8,69.58,70.27,22.58,2.312
128.67,81.96,127.13,59.18,71.86,8.19,2.331
137.63,82.33,128.72,58.24,72.46,0.17,2.341
118.07,85.93,112.42,48.45,69.72,-3.76,2.307
-20.12,88.57,-20.82,33.99,67.58,-12.82,2.307
-64.46,83.37,-64.15,20.82,65.47,-22.47,2.322
-71.5,77.34,-71.83,9.55,62.96,-31.4,2.317
-70.17,71.19,-71.02,-1.22,58.86,-41.19,2.322
-63.53,65.05,-69.05,-5.52,53.85,-47.03,2.341
-58.54,60.48,-67.96,-6.94,48.99,-51.1,2.37
-57.58,56.6,-67.54,-9.35,45.78,-53.47,2.385
-58.11,53.89,-68.2,-11.82,43.94,-55.56,2.39
-57.73,52.17,-68.85,-13.01,42.47,-57.21,2.405
-57.57,50.71,-69.42,-13.35,40.93,-57.87,2.39
-57.38,49.6,-69.43,-13.65,39.96,-58.2,2.283
-57.07,48.54,-69.08,-14.22,39.13,-58.74,2.17
-56.84,47.46,-68.61,-14.97,38.14,-59.05,2.155
-56.81,46.97,-68.83,-15.28,37.7,-59.59,2.165
-56.67,46.33,-69.14,-15.46,37.25,-60.33,2.19
-56.21,45.91,-69.37,-16,36.54,-61.37,2.204
-56.31,46.04,-69.58,-16.5,36.71,-61.72,2.224
-57.43,46.92,-69.42,-16.95,37.73,-61.39,2.253
-58.67,49.57,-69.39,-17.04,40.28,-61.03,2.258
-61.88,54.54,-70.95,-16.86,44.31,-59.79,2.263
-68.51,59.11,-73.91,30.05,44.24,44.77,2.243
-79.15,62.71,-78.07,-14.66,56.57,-46.71,2.234
-89.7,65.59,-80.93,-11.29,61.85,-33.62,2.239
-99.02,68.31,-83.14,-3.94,65.49,-17.99,2.258
-108.95,71.13,-84.44,5.58,68.04,-0.89,2.268
-116.71,73.05,-85.06,14.29,69.15,14.7,2.248
-124.49,74.03,-86.01,22.19,69.38,30.63,2.243
-129.17,74.02,-84.19,21.98,70.1,37.25,2.263
-130.59,73.14,-85.66,19.96,71.02,34.76,2.307
-129.87,72.34,-84.76,19.72,71.79,35.78,2.498
-129.67,71.5,-82.08,20.26,72.41,38.01,2.39
-129.16,70.92,-80.76,22.47,72.57,41.05,2.278
-129.88,70.94,-80.79,25.33,72.97,44.49,2.19
-131.42,71.5,-81.81,26.55,73.18,46.18,2.043
-132.04,71.91,-81.92,26.68,73.14,46.63,2.004
-130.78,71.81,-79.84,27.07,72.71,47.23,1.975
-127.72,71.89,-77.28,27.49,71.88,47.34,1.96
-125.93,72.45,-76.2,26.09,71.01,45.46,1.95
-129.99,75.83,-77.8,18.85,70.7,38.91,1.97
-142.8,82.38,-89.59,3.23,71.31,22.9,2.028
154.05,87.27,-154.43,-6.59,73.61,11.59,2.082
71.21,81.94,124.15,-18.58,76.02,-3.1,2.136
59.84,73.93,115.26,-30.21,77.46,-14.48,2.219
54.98,66.19,111.58,-28.62,79.37,-12,2.341
51.9,57.21,109.48,-10.23,79.99,6.43,2.473
51.72,50.67,109.46,8.95,79.61,25.41,2.537
51.81,45.1,109.59,20.92,79.87,37.81,2.366
52.94,42.56,110.18,26.41,80.8,43.85,2.116
52.66,42.32,110.39,27.89,80.99,45.62,1.999
53.48,44.08,110.45,25.27,81.3,42.1,2.019
53.07,48.19,110.03,18.82,80.77,34.63,1.94
53.04,54.54,108.83,7.48,80.58,21.94,1.852
52.87,62.22,106.92,-6.45,79.85,6.3,1.818
51.49,70.38,103.83,-12.73,77.9,-0.89,1.843
52.78,79.52,101.56,-6.14,75.23,8.18,1.862
43.41,87,90.77,2.41,71.76,16.92,1.882
-128.5,86.9,-79.75,1.64,70.45,17.9,1.891
-128.24,82.66,-85.72,7.07,70.63,16.74,1.901
-130.36,77.66,-93.03,15.37,70.95,22.09,1.921
-128.17,73.14,-89.36,-9.77,10.59,-85.74,1.975
-128.32,69.43,-88.2,24.73,72.34,33.67,2.087
-129.04,66.25,-87.73,27.22,72.82,36.41,2.268
-129.73,64.76,-87.12,30.22,73.64,39.26,2.669
nan,nan,nan,32.72,74.48,41.45,2.473
-130.8,63.45,-88.45,33.22,74.73,41.7,2.356
-130.69,63.47,-88.05,33.19,74.69,41.85,2.312
-130.23,63.84,-87.18,32.66,74.33,41.55,2.199
-129.25,64.39,-86.26,31.47,73.77,40.35,2.043
-127.51,65.19,-84.74,29.65,73.04,38.42,1.96
-126.16,66.37,-83.6,26.99,72.03,35.77,1.931
-125.23,68.8,-82.27,23.44,70.88,32.86,1.935
-127.53,73.68,-82.66,15.25,70.44,25.19,1.97
-127.05,81.74,-81.9,2.53,70.75,12.71,2.028
-168.79,88.87,-122.8,-6.36,72.14,3.01,2.072
66.36,82.23,113.97,-11.17,74.4,-3.52,2.116
58.66,73.17,110.14,-5.26,76.33,3.7,2.204
53.71,62.78,108.44,10.27,76.09,20.44,2.322
50.79,53.67,107.12,24.1,74.88,34.85,2.444
50.11,44.7,106.21,34.9,74.59,46.34,2.595
50.7,37.1,105.66,43.53,74.71,55.9,2.331
51.35,32.36,105.44,49.13,73.74,61.98,2.053
51.4,32.37,105.39,49.49,72.95,61.78,1.96
51.78,35.18,105.22,48,73.93,59.27,2.121
51.6,40.68,104.79,40.92,75.65,51.09,2.146
51.17,49.75,103.67,30.51,77.37,39.99,2.175
50.63,59.02,102.01,12.72,79.07,21.91,2.204
48.14,69.16,97.98,-6.92,78.06,2.37,2.229
38.02,78.53,86.38,-16.13,75.15,-4.91,2.239
-35.39,87.28,11.82,-11.35,70.72,-0.48,2.273
-107.23,82.07,-57.04,-2.78,70.06,8.74,2.283
-120.1,78.03,-81.22,2.64,70.2,6.71,2.283
-125.87,75.52,-91.75,8.63,71,9.4,2.283
-123.72,74.45,-89.99,12.68,72.18,13.96,2.287
-125.07,72.41,-92.88,15.12,73.11,16.35,2.287
-125.64,70.6,-93.08,18.13,73.95,19.57,2.297
-126.16,69.23,-92.98,20.64,74.66,22.34,2.307
-126.43,67.81,-91.89,22.99,74.96,25.09,2.312
-126.87,66.66,-90.54,24.88,75.03,27.85,2.317
-127.06,66.53,-90.17,25.42,75.05,28.85,2.312
-126.96,66.63,-89.91,25.41,75.02,28.99,2.317
nan,nan,nan,25.54,74.81,28.9,2.317
-125.81,65.91,-88.41,25.04,74.48,28.06,2.317
-125.13,65.88,-87.86,23.98,74.2,26.76,2.326
-124.47,65.85,-87.48,23.02,73.81,25.48,2.331
-123.61,66.17,-87.91,22.31,73.32,23.88,2.341
-122.88,66.59,-88.45,21.76,72.91,22.58,2.341
-122.28,66.83,-88.33,21.49,72.62,22.01,2.341
-121.97,67.15,-88.35,147.9,-30.46,173.3,2.346
-121.66,67.48,-88.5,21.78,72.05,21.74,2.346
-121.19,67.71,-87.93,22.33,71.79,22.35,2.346
-120.7,67.99,-87.53,22.52,71.41,22.36,2.346
-120.01,68.62,-87.62,22.42,70.97,21.81,2.336
-119.11,69.3,-87.31,22.4,70.55,21.45,2.317
-117.87,70.09,-86.77,22.51,70.04,21.24,2.38
-116.9,71.02,-86.49,22.66,69.33,20.93,2.61
-116.59,71.77,-86.81,22.84,68.71,20.49,2.395
-116.29,72.21,-86.39,22.96,68.12,20.37,2.258
-114.72,72.88,-85.36,22.9,67.57,19.96,2.107
-113.3,73.47,-84.16,22.42,67.06,19.38,1.975
-111.62,74.15,-82.96,21.73,66.59,18.51,1.96
-110.64,75.1,-82.06,20.48,66.06,17.28,1.984
-110.01,76.63,-81.25,18.29,65.8,15.21,2.009
-109.37,79.04,-78.88,13.42,66.01,11.12,2.023
-102.93,81.73,-71.13,8.07,66.39,6.73,2.048
-89.36,84.43,-56.5,2.43,66.66,2.09,2.063
-34.44,86.85,-0.43,-15.59,69.86,-14.62,2.102
9.54,84.86,46.69,-52.33,69.31,-51.27,2.141
-69.38,69.64,-51.27,-74.38,64.84,-71.35,2.253
20.59,82.08,64.16,-86.81,58.73,-81.28,2.351
15.26,82.37,60.06,-96.24,52.31,-88.78,2.439
8.79,83.1,53.87,-97.69,49.62,-89.91,2.6
10.36,83.22,55.19,-97.29,49.98,-89.58,2.605
13.98,83.11,58.28,-97.71,50.54,-90.3,2.38
17.49,82.86,61.04,-97.24,51.29,-90.43,2.087
20.44,82.71,63.47,-96.82,52.14,-90.37,1.926
24.42,82.24,67.44,-96.01,53.56,-89.77,1.862
29.31,81.79,72.66,-91.34,58.03,-85.3,1.862
35.46,81.84,78.58,-83.64,63.65,-77.55,1.911
38.85,82.32,81.73,-67.31,69.93,-61.21,1.926
43.01,83.22,85.41,-45.95,72.95,-39.31,1.94
48.95,84.19,90.18,-23.16,73.57,-17.12,1.955
46.49,85.89,88.32,-1.46,71.79,4.53,2.014
21.33,88.51,63.85,10.73,68.24,16.64,2.195
-91.77,88.32,-49.58,14.03,66.39,20.19,2.239
-122.42,86.07,-83.4,4.57,66.41,3,2.229
-124.15,83.13,-86.85,22.12,65.37,25.54,2.243
-126.23,81.43,-88.88,24.53,65.39,27.2,2.263
-130.18,80.84,-92.87,25.78,65.72,28.24,2.268
-132.31,80.33,-94.91,26.67,66.14,29.06,2.268
-133.07,79.45,-95.65,27.85,66.62,29.57,2.268
-134.08,79.07,-96.86,28.92,66.95,30.19,2.229
-135.43,79.78,-98.42,29.38,67.15,30.55,2.19
-139.87,82.22,-104.8,31.31,66.9,31.79,2.175
-150.98,84.02,-118.47,33.1,66.56,32.61,2.214
-163.61,84.51,-131.2,35.07,65.83,34.54,2.175
172.04,85.51,-155.47,35.83,65.3,35.8,2.18
150.99,85.65,-176.52,36,65.13,36.35,2.16
138.82,85.53,172.13,35.85,64.62,37.17,2.107
130,85.43,163.53,35.67,64.41,37.16,2.082
127.34,85.48,160.9,35.93,64.24,37.27,2.053
126.96,85.49,160.08,36.46,63.96,36.78,2.038
123.94,85.47,156.84,36.44,63.71,36.74,2.077
122.69,85.48,155.27,35.97,63.69,35.86,2.102
126.51,85.27,157.92,36.06,63.58,34.23,2.102
129.12,85.34,160.11,36.77,63.5,33.95,2.146
130.42,85.24,160.69,35.96,64.01,32.23,2.165
130.93,85.17,160.8,35.13,64.51,30.01,2.126
131.54,85.02,160.95,35.14,64.65,29.08,2.151
130.82,84.98,160.12,34.2,64.43,27.94,2.175
130.03,85.07,159.66,34.56,64.78,29.69,2.155
130.8,85.16,161.18,35.13,64.94,31.87,2.17
132.1,85.35,162.65,34.16,65.15,31.28,2.165
133.84,85.59,164.4,33.11,65.35,30.4,2.146
135.11,85.71,165.58,32.73,65.3,29.84,2.151
135.29,85.81,165.76,31.98,65.24,28.87,2.131
135.15,85.87,165.5,31.93,66.14,29.07,2.048
133.42,86.02,163.85,33.26,66.55,30.05,2.048
133.39,86.06,163.77,30.57,66.07,26.7,2.165
130.57,86.18,161.17,32.43,62.05,24.21,2.268
131.02,85.94,161.3,26.71,55.36,14.9,2.287
130.66,85.97,160.87,25.09,51.76,11.07,2.243
131.63,85.83,161.68,25.87,52.12,12.33,2.234
132.42,85.91,162.78,25.26,51.74,11.9,2.229
135.36,85.94,165.44,23.87,50.98,10.08,2.278
138.93,85.9,168.86,24.11,53.33,11.29,2.322
140.14,85.96,169.86,23.82,52.63,10.28,2.258
138.63,86.11,168.53,24.61,54.89,13.03,2.165
139.1,86.05,168.99,23.81,58.38,14.29,2.121
138.27,86.02,168.24,23.68,61.47,16.58,2.317
138.63,85.99,168.49,25.14,64.76,20.26,2.449
138.52,85.98,168.45,26.28,65.35,21.78,2.703
134.73,86.29,164.8,27.06,63.97,20.79,2.722
131.76,86.24,162,27.83,63.95,22.21,2.6
132.34,86.26,162.65,28.3,63.8,22.37,2.527
132.84,86.35,163.15,28.69,63.51,22.22,2.488
131.54,86.32,162.14,28.69,62.41,21,2.478
129.78,86.26,160.24,28.45,61.82,19.93,2.478
128.87,86.1,158.79,28.25,60.95,18.99,2.488
129.98,86.26,159.5,28.43,60.4,19.13,2.483
131.81,86.26,161.27,38.66,56.4,38.29,2.507
130.91,86.21,160.66,29.09,61.47,22.89,2.522
128.65,86.22,158.74,28.91,61.95,23.79,2.478
128.09,86.27,158.77,28.99,61.84,24.33,2.507
128.07,86.2,158.99,29.18,61.79,24.9,2.576
126.38,86.22,157.37,28.7,62.33,25.18,2.654
127.4,86.14,158.27,28.04,63.76,26.23,2.683
128.93,86.11,159.49,29.17,65.72,28.84,2.703
128.44,86.11,158.95,29.17,65.7,29.03,2.698
127.95,86.23,158.55,28.96,65.35,28.14,2.698
128.09,86.21,158.66,28.16,64.55,26.23,2.708
127.82,86.28,158.45,27.63,64.36,25.67,2.713
124.64,86.34,155.4,28.69,59.68,21.31,2.713
122.79,86.41,153.55,24.84,53.25,12.88,2.703
nan,nan,nan,26.61,58.96,18.87,2.649
127.82,86.34,158.02,28.01,62.43,23.22,2.595
127.13,86.5,156.87,29.21,60.25,19.55,2.561
125.8,86.3,155.78,29.06,58.66,19.25,2.581
127.95,86.4,157.74,27.84,55.46,15.43,2.512
130.76,86.23,160.11,26.15,49.36,11.15,2.483
127.34,86.26,156.86,25.55,47.13,10.97,2.473
124.58,86.33,154.75,25.83,50.48,14.07,2.488
126.92,86.21,157.05,26.76,55.01,17.77,2.458
128.22,86.19,158.65,27.29,55.71,18.71,2.414
126.8,86.09,157.6,29.38,58.03,22.14,2.385
124.42,86.02,155.87,31.12,59.59,24.62,2.38
125.18,86.02,156.35,30.71,59.52,23.4,2.454
125.74,86.02,156.8,29.71,60.65,22.87,2.581
125.7,86.09,157.02,27.53,59.76,20.91,2.517
125.51,86.18,156.93,25.99,58.29,18.87,2.473
124.93,86.15,156.47,26.1,58.53,19.86,2.502
123.08,86.12,154.94,27.65,59.87,22.22,2.551
123.4,86.16,155.33,29,60.77,23.35,2.551
123.17,86.18,154.99,32.72,63.66,28.18,2.581
124.82,86.23,156.2,35.22,65.54,31.09,2.537
125.72,86.24,156.69,35.68,65.59,30.99,2.483
127.76,86.24,158.64,36.13,64.72,30.72,2.41
129.78,86.29,160.54,35.81,63.9,30.51,2.4
131.2,86.3,161.76,35.6,63.64,29.77,2.512
132.41,86.07,162.83,35.02,63.55,29.02,2.517
132.73,86.09,163.42,34.53,63.19,28.76,2.502
135.04,86.1,165.24,33.41,62.6,27.14,2.498
135.57,86.09,165.47,32.78,62.39,26.4,2.414
135.03,86.27,164.84,31.79,62.43,26.03,2.297
134.13,86.27,163.81,31.87,62.63,26.14,2.248
132.03,86.01,161.71,32.01,63.14,26.83,2.219
131.9,86,161.65,31.44,63.58,26.98,2.219
132.56,85.97,162.06,30.95,62.95,25.31,2.248
132.74,85.98,162.24,29.99,62.83,25.42,2.283
133.29,85.94,162.95,29.63,62.54,25.37,2.4
133.54,85.79,163.18,29.75,62.46,25.66,2.556
134.12,85.76,163.63,29.46,62.45,25.35,2.542
134.53,85.74,163.99,29.53,62.19,25.23,2.669
133.99,85.75,163.55,30.1,62.05,25.96,2.644
135.88,85.83,165.25,16.82,27.2,16.88,2.566
137.42,85.95,166.55,31.02,61.53,26.34,2.566
nan,nan,nan,31.17,61.4,26.37,2.546
137.75,85.88,166.75,31.18,61.24,26.38,2.571
137.43,85.88,166.48,30.8,61.16,26.17,2.576
140.29,85.89,168.77,28.76,61.6,23.8,2.571
140.56,85.69,168.15,28.12,63.3,22.4,2.61
132.79,85.07,159.87,30.4,65.13,28.3,2.62
127.79,85.72,155.72,28.53,65.2,26.87,2.703
128.81,85.59,156.17,28.4,65.08,26.4,3.099
127.23,85.92,155.38,28.47,64.75,26.68,3.069
125.67,85.74,153.03,28.95,64.47,25.99,3.192
124.32,85.8,151.56,29.34,64.18,25.53,2.845
124.26,85.69,151.21,30.06,64.01,25.06,2.903
124.45,85.54,150.95,30.37,64.05,24.96,3.025
125.46,85.46,151.85,30.57,64.08,24.77,3.104
121.32,85.53,148.27,30.33,63.97,24.95,3.06
122.75,85.44,149.77,30.43,63.94,24.7,3.016
122.19,85.2,149.22,31.04,63.87,24.82,3.069
120.23,84.78,146.96,32.95,64.12,25.84,2.869
117.76,84.67,144.46,33.66,64.23,25.83,2.879
116.75,84.29,143.29,34.5,64.15,25.92,2.933
114.6,84.39,140.97,34.15,64.22,25.5,2.977
114.16,83.97,139.98,34.02,64.57,24.7,3.04
108.53,83.49,134.92,33.84,65.34,24.33,2.849
102.97,82.63,129.73,33.31,66.16,24.12,2.395
98.91,81.4,126.39,33.18,66.78,24.53,2.165
95.24,80.56,122.4,32.31,67.47,23.47,1.935
93.79,80.53,120.32,31.56,67.74,22.96,1.916
-76.75,82.1,-66.76,28.45,67.68,18.9,1.896
90.82,82.01,113.48,27.72,67.17,16.11,1.916
84.4,82.47,107.38,26.59,66.51,15.76,1.989
74.8,82.34,99.05,23.61,66.05,14.35,2.023
70.66,82.23,98.45,17.13,65.13,8.95,2.028
60.53,82.96,90.03,15.98,64.37,7.44,2.053
48.63,80.26,79.88,2.3,68.67,-7,2.058
45.81,78.18,78.91,-31.68,70.57,-39.98,2.092
41.4,76.14,77.7,-65.39,67.28,-70.68,2.175
39.46,75.11,77.3,-79.7,62.99,-83.14,2.292
38.9,74.69,76.78,-87.75,59.12,-90.51,2.385
39.85,74.51,77.8,-91.72,57.66,-93.91,2.434
40.97,74.15,79.16,-91.63,58.25,-93.71,2.6
42.25,74.11,80.94,-90.4,59.32,-92.44,2.669
42.57,74.71,81.49,-91.27,58.58,-93.1,2.659
41.6,75.25,81.01,-93.11,57.47,-93.81,2.639
41.28,74.93,80.39,-91.38,58.84,-92.47,2.405
43.39,73.72,81.39,-84.69,63.13,-87.96,2.468
46.33,72.75,82.74,-73.13,68.72,-78.85,2.468
49.41,71.82,84.57,-55.63,74.33,-61.95,2.561
50.8,71.97,85.52,-16.87,76.42,-23.82,2.6
53.56,72.93,88.32,20.87,71.2,13.91,2.61
54.52,75.69,89.63,30.15,66.27,23.79,2.62
57.12,78.02,89.64,31.17,65.08,23.61,2.61
55.85,81.48,87.01,31.52,64.42,22.09,2.586
48.21,85.86,79.23,29.79,63.84,21.32,2.586
75.24,88.53,106.96,24.71,64.78,17.54,2.59
-178.86,87.18,-153.68,25.49,65.96,16.06,2.59
-158.19,85.22,-134.76,27.91,66.93,16.47,2.586
-154.61,83.53,-132.7,28.37,68.05,16.62,2.595
-156.17,82.53,-135.54,28.1,69.15,15.73,2.595
-155.36,81.5,-135.22,27.76,69.93,15.07,2.61
-152.32,80.5,-132.04,26.92,70.53,14.41,2.62
-147.64,79.37,-126.6,25.47,71.11,13.59,2.634
-143.2,78.28,-120.97,24.04,71.38,12.96,2.639
-139.4,77.35,-116.29,22.52,71.57,12.02,2.649
-136.74,76.68,-113.43,20.46,71.72,10.31,2.649
-134.17,76.03,-110.44,18.6,71.81,8.9,2.649
-131.21,74.99,-107.4,17.18,71.87,7.47,2.654
-129.4,74.51,-105.48,15.8,71.85,5.96,2.649
-127.53,73.95,-103.64,14.8,71.75,4.83,2.649
-125.75,73.55,-101.99,14.37,71.51,4.07,2.639
-124.57,73.55,-101.26,14.08,71.17,3.4,2.654
-123.3,73.68,-100.3,13.89,70.85,2.89,2.664
-122.36,73.93,-99.43,13.54,70.52,2.45,2.678
-121.4,74.16,-98.67,13.26,70.12,1.95,2.688
-120.97,74.25,-98.21,13.31,69.9,1.87,2.708
-120.52,74.32,-97.84,13.55,69.73,1.92,2.727
-120.21,74.52,-97.97,13.8,69.48,1.73,2.747
-120.16,74.72,-97.26,13.81,69.4,2.14,2.791
-120.92,74.76,-96.74,13.9,69.37,3.12,2.82
-122,74.88,-97.87,14.56,69.89,4.08,2.81
-122.93,74.77,-98.66,15.55,70.5,5.03,2.737
-125.36,75.19,-102.16,15.83,71.08,4.71,2.664
-128.57,75.54,-105.57,15.37,71.59,4.32,2.649
