Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS
37.88,74.38,-7.05,33.13,47.16,-35,2.669
46.42,78.06,-1.6,36.05,51.07,-34.68,2.385
46.14,83.47,-0.8,36.93,54.9,-33.04,2.424
26.05,87.26,-17.95,37.58,57.41,-30.38,2.634
-30.21,88.88,-72.42,37.15,59.53,-28.65,2.879
-92.41,88.08,-132.68,35.57,61.47,-28.33,2.864
-101.64,86.47,-139.83,33.23,62.8,-28.98,2.908
-99.13,85.07,-135.61,30.27,63.56,-30.24,2.947
-105.35,83.01,-141.31,26.01,64.46,-33.89,2.918
-102.32,82.91,-135.66,13.5,66.09,-46.02,2.908
-80.37,84.48,-111.84,-6.52,66.74,-64.47,2.947
-43.53,84.29,-66.84,-23.62,68.66,-71.73,2.991
-26.28,82.02,-40.93,-20.49,68.51,-63.23,3.016
-19.98,81.41,-26.85,-0.65,64.57,-35.73,3.021
-9.16,80.06,-9.5,13.15,58.35,-15.72,3.045
-8.52,78.16,-3.08,20.22,53.02,0.2,3.025
-17,78.35,-4.78,20.09,52.03,10.5,3.025
-35.57,80.63,-20.89,18.63,56.19,12.87,2.908
-63.79,81.27,-47.02,20.5,60.13,16.74,2.498
-87.73,79.25,-65.26,22.77,62.86,22.14,2.395
-98.68,77.42,-71.77,24.1,64.88,26.96,2.561
-104.07,76.35,-73.21,23.35,66.1,29.28,2.786
-106.84,75.46,-71.09,22.8,67,32.55,2.937
-107.85,74.74,-67.38,23.22,67.16,36.57,2.864
-105.41,75.18,-60.04,23.05,66.36,39.76,2.854
-99.79,76.37,-51.7,22.69,64.55,41.65,2.737
-90.93,77.91,-37.28,19.31,62.33,39.97,2.859
-86.47,75.97,-23.56,7.28,60.97,40.5,2.908
-88.25,71.58,-5.51,-12.72,63.98,41.6,2.996
-101.51,72.51,0.11,-31.38,67.89,41.99,3.016
-121.84,75.9,-5.75,-29.72,72.31,59.4,3.016
-138.61,78.39,-14.96,-2.29,72.49,94.68,3.025
-156.54,81.27,-27.92,29.52,67.07,128.56,3.055
-172.84,81.5,-44.49,40.64,62.34,138.57,2.854
-171.07,80.95,-44.15,41.01,63.32,136.69,2.586
-157.46,75.98,-33.64,41.24,65.47,133.04,2.414
-149.34,71.99,-25.88,39.81,67.69,132.87,2.444
-144.03,69.65,-20.4,36.71,70.23,131.5,2.527
-140.45,67.31,-16.45,nan,nan,nan,2.815
-137.89,65.41,-15.29,31.01,75.29,129.07,2.854
-135.71,64.08,-15.58,24.81,76.5,122.46,2.898
-132.74,63.66,-17.58,14.96,77.58,111.11,2.933
-129.89,63.14,-17.85,1.66,78.06,96.22,2.913
-126.08,63.08,-18.82,-16.27,77.27,75.81,2.972
-121.3,65.48,-18.7,-86.48,-11.83,77.74,3.001
-110.32,70.8,-13.22,-60.6,70.37,22.74,3.025
-106.58,74.77,-17.86,-60.69,69.09,11.78,3.025
-111.94,77.56,-26.46,-39.89,72.95,26.3,3.025
-115.61,80.43,-31.58,1.13,72.11,60.2,3.025
-129.34,83.5,-52.25,31.5,65.69,80.57,3.021
-152.66,86.56,-83.93,44.58,60.76,85.25,3.021
-150.32,86.48,-87.07,45.94,60.16,81.69,3.035
-140.82,83.81,-78.32,44.41,61.89,78.77,2.82
-131.21,80.11,-63.79,40.84,64.62,79.48,2.654
-129.92,76.11,-62.67,38.69,67.8,77.87,2.522
-129.04,73.29,-65.05,37.12,70.39,73.93,2.502
-127.66,71.49,-67.23,33.9,72.02,67.7,2.556
-125.52,70.46,-69.19,28.95,72.51,60.37,2.59
-124.34,70.93,-69.82,24.12,72.81,55.52,2.62
-122.71,71.25,-71.28,19.52,72.93,49.99,2.615
-120.57,71.42,-71.69,14.91,72.73,44.01,2.678
-117.46,71.72,-72.19,8.78,72.17,36.29,2.82
-113.69,73.47,-71.68,-0.9,71.5,25.4,2.805
-107.03,77,-65.92,-17.77,71.33,8.19,2.923
-93.27,79.71,-51.79,-27.5,70.78,-2.09,2.928
-79.2,81.18,-38.8,-30.91,69.9,-6.97,3.006
-72.04,81.65,-34.82,-28.08,68.9,-6.89,3.006
-65.14,82.28,-33.19,-22.66,68.75,-5,3.001
-44.1,84.39,-25.41,-14.98,68.42,-11.19,3.001
-23.23,83.87,-16.72,-11.74,67.29,-25.57,3.016
-24.42,82.05,-26.93,-6.17,64.18,-32.94,3.006
-27.19,81.13,-40.4,3.28,61.29,-36.63,3.021
-27.59,80.95,-53.74,14.88,60.14,-41.97,2.991
-36.97,83.08,-75.73,18.44,59.78,-51.67,2.977
-53.5,84.88,-96.17,20,61.06,-51.6,2.996
-95.12,84.12,-141.07,23.78,63.86,-47.57,3.016
-116.69,81.69,-163.59,28.51,66.12,-44.82,3.055
-125.25,79.71,-172.09,31.6,67.56,-42.96,3.055
-130.83,78.67,177.44,34.6,68.04,-43.31,3.05
-134.75,78.12,171.13,36.53,68.56,-43.67,3.04
-135.9,77.57,168.34,37.35,68.96,-44.32,3.04
-135.85,77.13,168.76,37.29,69.37,-44.51,2.864
-133.88,76.34,173.75,36.3,70.02,-43.57,2.693
-130.62,75.04,-178.79,33.89,70.93,-43.21,2.766
-129.18,73.21,-172.39,28.33,71.48,-44.68,2.928
-126.54,72.29,-165.07,24.57,71.39,-44.21,2.986
-124.39,72.82,-163.7,21.68,70.96,-46.93,2.874
-122.8,73.59,-164.57,19.96,70.31,-50.29,2.859
-121.63,74.08,-165.25,20.17,69.79,-51.65,2.903
-121.35,75.02,-168.39,21.37,69.28,-52.61,2.923
-122.58,75.89,-172.41,22.32,68.9,-53.94,2.942
-127.93,77.68,-176.79,18.25,69.7,-58.19,2.952
-125.82,80.81,-170.48,11.23,71.47,-62.08,2.977
-110.07,83.01,-142.92,12.63,68.42,-47.4,2.972
-78.64,82.19,-96.99,13.43,63.15,-33.52,3.079
-77.95,79.73,-83.77,8.79,59.15,-15.77,3.089
-93.97,77.12,-90.3,7.23,63.21,-10.45,3.045
-106.29,75.24,-101.15,13.7,66.87,-0.29,2.923
-116.35,73.09,-100.76,20.17,69.73,12.6,2.996
-122.67,72.07,-99.02,23.25,71.43,21.96,2.644
-126.15,71.43,-96.66,25.77,71.97,29.04,2.322
-127.46,71.47,-92.07,26.76,72.04,33.64,2.185
-127.97,71.77,-91.09,28.09,71.69,36.34,2.043
-129.04,72.6,-88.49,27.24,71.01,37.51,1.955
-130.15,74.3,-88.44,26.15,70.08,36.75,1.906
-130.49,76.79,-87.7,23.48,69.07,35.03,1.901
-130.81,78.2,-78.23,18.44,67.79,45.06,1.911
-120.52,78.11,-54.7,14.42,67.01,53.86,1.931
-122.15,77.86,-55.19,12.42,66.38,51.56,1.94
-116.66,82.75,-51.72,4.2,67.7,42.57,1.94
52.39,85.31,119.9,-4.03,71.57,32.97,1.96
58.5,74.92,127.46,nan,nan,nan,1.979
55.03,64.88,126.71,6.57,77.73,42.18,1.979
53.21,55.7,126.79,23.27,77.66,60.58,1.984
51.77,46.66,127.02,37.33,75.85,76.74,2.004
51.99,37.58,128.05,47.19,73.98,88.29,2.014
52.21,33.55,129.2,52.55,71.68,94.53,2.004
51.89,32.81,129.86,29.87,76.63,61.61,2.014
51.62,33.12,129.98,53.29,70.89,95.58,2.014
52.18,33.56,129.68,54.04,71.96,95.95,2.019
51.9,33.65,129.1,53.18,71.82,94.67,2.023
51.8,33.75,128.55,53,71.36,93.71,2.023
52.01,33.59,128.08,53.57,71.51,93.78,2.028
52.08,33.24,127.85,54.22,71.29,94.01,2.033
52.52,33.11,127.76,55.6,70.7,94.51,2.043
52.39,33.17,127.73,55.06,70.62,94.02,2.053
52.1,33.03,127.41,54.53,70.94,93.53,2.053
52.42,33.03,127.15,55.3,71.1,93.7,2.048
52.42,33.4,127.31,55.22,71.23,93.6,2.048
52.39,33.53,127.31,55.13,71.42,93.59,2.053
52.79,33.37,127.3,56.47,71.31,94.62,2.067
53.09,33.31,127.46,57.35,71.07,95.31,2.072
52.91,33.48,127.48,56.8,71.32,94.93,2.077
52.64,33.65,127.35,55.86,71.43,94.16,2.107
52.89,33.78,127.47,56.19,71.31,94.4,2.126
53.05,34.12,127.66,56.32,71.47,94.53,2.16
52.93,34.49,127.64,55.66,71.83,93.89,2.214
52.95,34.73,127.57,55.82,72.21,94.17,2.292
53.23,34.8,127.49,56.45,72.8,94.77,2.39
52.96,34.88,127.34,55.82,72.59,94.01,2.449
53.19,35.14,127.25,56.06,72.54,93.76,2.439
53.33,35.87,127.25,55.68,73.08,93.16,2.331
53.06,37.29,126.87,53.25,73.82,90.4,2.092
52.88,39.62,126.51,49.32,74.51,86.03,1.838
52.48,43.42,126.18,43.92,75.16,80.55,1.862
52.54,48.83,125.68,36.93,76.27,72.89,1.94
52.22,55.75,124.97,26.35,77.22,62.07,1.989
nan,nan,nan,14.92,77.23,50.87,2.023
50.2,71.5,121.15,2.7,75.82,39.28,2.033
45.9,78.16,115.51,-3.61,74.58,33.73,2.053
37.58,85.48,105.25,-2.43,73.48,34.98,2.067
-94.79,87.69,-28.38,3.04,72.17,38.82,2.082
-119.19,83.24,-56.02,6.56,71.33,40.33,2.087
-126.13,78.57,-64.87,9.86,70.62,43.94,2.097
-123.02,75.38,-65.26,18.5,69.9,51.07,2.107
-121.32,71.98,-64.22,23.7,69.94,56,2.111
-120.94,70.03,-64.82,27.06,69.77,58.84,2.111
-121.77,69.43,-65.77,27.5,70.22,59.37,2.116
-122.5,68.63,-65.94,27.64,70.58,60.03,2.121
-122.84,68.27,-66.19,27.61,70.77,60.08,2.121
-123.05,68.18,-66.51,27.44,70.73,59.77,2.121
