Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,Activity
120.78,63.69,-18.25,-90.01,73.7,-17.72,2.195,85,upstairs
123.01,64.25,-16.1,-91.06,73.83,-18.63,2.263,77,upstairs
125,64.78,-14.26,-91.06,73.83,-18.63,2.273,72,upstairs
127.78,65.27,-12.13,-91.62,74.13,-19.25,2.278,65,upstairs
127.78,65.27,-12.13,-91.22,74.42,-19.2,2.214,58,upstairs
130.93,65.72,-9.8,-90.88,74.7,-19.08,2.234,59,upstairs
134.01,66.1,-7.34,-90.05,75.03,-18.26,2.292,68,upstairs
136.83,66.41,-4.9,-90.05,75.03,-18.26,2.326,72,upstairs
139.47,66.7,-2.48,-89.64,75.28,-17.96,2.278,88,upstairs
139.47,66.7,-2.48,-89.04,75.46,-17.54,2.375,79,upstairs
142.12,66.97,0.12,-87.98,75.67,-16.69,2.395,74,upstairs
144.73,67.29,2.73,-86.94,75.89,-15.79,2.41,77,upstairs
147.4,67.63,5.32,-86.94,75.89,-15.79,2.424,81,upstairs
150.22,67.91,7.9,-86.1,76.11,-15.11,2.424,108,upstairs
150.22,67.91,7.9,-85.25,76.34,-14.57,2.458,102,upstairs
153.05,68.14,10.3,-84.24,76.56,-14.01,2.468,103,upstairs
155.9,68.28,12.58,-83.28,76.76,-13.51,2.478,101,upstairs
158.57,68.42,14.71,-83.28,76.76,-13.51,2.468,120,upstairs
161.01,68.59,16.68,-82.24,76.97,-12.87,2.458,155,upstairs
163.27,68.77,18.52,-81.18,77.15,-12.17,2.37,200,upstairs
163.27,68.77,18.52,-80.31,77.3,-11.6,2.512,189,upstairs
165.25,68.93,20.18,-79.7,77.45,-11.29,2.512,164,upstairs
166.8,69.13,21.46,-79.57,77.58,-11.42,2.527,188,upstairs
168.13,69.37,22.46,-79.57,77.58,-11.42,2.546,199,upstairs
169.41,69.55,23.28,-79.39,77.61,-11.54,2.556,179,upstairs
169.41,69.55,23.28,-79.32,77.57,-11.84,2.566,210,upstairs
170.57,69.76,23.94,-79.44,77.45,-12.36,2.571,209,upstairs
171.82,69.85,24.69,-79.45,77.3,-12.58,2.581,243,upstairs
172.99,69.95,25.43,-79.45,77.3,-12.58,2.59,221,upstairs
174.05,70.06,26.17,-79.53,77.13,-12.74,2.595,229,upstairs
174.05,70.06,26.17,-79.8,76.89,-13.09,2.605,314,upstairs
175.19,70.13,27.04,-79.88,76.6,-13.31,2.61,374,upstairs
176.3,70.23,27.9,-79.93,76.29,-13.51,2.615,361,upstairs
177.48,70.27,28.8,-79.97,75.98,-13.63,2.625,446,upstairs
178.66,70.3,29.75,-79.96,75.64,-13.72,2.625,470,upstairs
179.83,70.33,30.67,-79.9,75.29,-13.71,2.625,612,upstairs
